快照日期,排名,標題,類別,立場,來源,發布時間
2026-09-10,7,布克獎執行長親送台灣驚喜禮！ 楊双子與金翎疊影藏深意,娛樂影視,非政治,自由藝文網,"Wed, 09 Sep 2026 22:34:00 GMT"
2026-09-10,7,東北季風南接力這時雨最大 下周恐雙颱生成 專家指它將朝台日海域前進,生活氣象,非政治,UDN 聯合報,"Thu, 10 Sep 2026 01:28:31 GMT"
2026-09-10,7,布克獎執行長親送台灣驚喜禮！ 楊双子與金翎疊影藏深意,娛樂影視,非政治,自由藝文網,"Wed, 09 Sep 2026 22:34:00 GMT"
2026-09-10,8,九合一選舉將至谷立言示警AI新型態認知戰威脅| 政治,政治,非政治,中央社 CNA,"Wed, 09 Sep 2026 03:48:00 GMT"
2026-09-10,8,九合一選舉將至谷立言示警AI新型態認知戰威脅| 政治,政治,非政治,中央社 CNA,"Wed, 09 Sep 2026 03:48:00 GMT"
2026-09-10,8,布克獎執行長親送台灣驚喜禮！ 楊双子與金翎疊影藏深意,娛樂影視,非政治,自由藝文網,"Wed, 09 Sep 2026 22:34:00 GMT"
2026-09-10,8,九合一選舉將至谷立言示警AI新型態認知戰威脅| 政治,政治,非政治,中央社 CNA,"Wed, 09 Sep 2026 03:48:00 GMT"
2026-09-10,9,北市營養午餐爭議連爆！竟要學生「排隊秤廚餘」 林延鳳揭荒唐公文內幕,政治,批在野,三立新聞,"Wed, 09 Sep 2026 10:49:00 GMT"
2026-09-10,9,北市營養午餐爭議連爆！竟要學生「排隊秤廚餘」 林延鳳揭荒唐公文內幕,政治,批在野,三立新聞,"Wed, 09 Sep 2026 10:49:00 GMT"
2026-09-10,9,賴清德自豪提7律師參選 李四川競辦酸：怎只有蘇巧慧不懂利衝法？,政治,批執政,UDN 聯合報,"Thu, 10 Sep 2026 02:44:16 GMT"
2026-09-10,9,不副署是制衡總統？卓榮泰：明天會被換掉,政治,中性政治,Yahoo新聞,"Wed, 09 Sep 2026 16:40:41 GMT"
2026-09-10,10,新聞眼／川普批左派智庫 台灣掃到颱風尾,國際,非政治,UDN 聯合報,"Wed, 09 Sep 2026 17:49:21 GMT"
2026-09-10,10,新聞眼／川普批左派智庫 台灣掃到颱風尾,國際,非政治,UDN 聯合報,"Wed, 09 Sep 2026 17:49:21 GMT"
2026-09-10,10,史丹佛學者直批卓揆不副署「公然違憲」 社群：打臉賴桑- 政治,政治,批執政,中時新聞網,"Wed, 09 Sep 2026 11:46:28 GMT"
2026-09-10,10,新聞眼／川普批左派智庫 台灣掃到颱風尾,國際,非政治,UDN 聯合報,"Wed, 09 Sep 2026 17:49:21 GMT"
2026-09-11,1,高金素梅助理張俊傑逃亡過程「黑白配」 向小黃借手機閃避通聯| 法律前線| 社會,政治,批在野,UDN 聯合報,"Thu, 10 Sep 2026 23:35:50 GMT"
2026-09-11,1,美伊海上互襲 胡塞奪摩卡港、劍指曼德海峽擴大中東戰線,國際,非政治,鉅亨網,"Thu, 10 Sep 2026 22:49:07 GMT"
2026-09-11,1,美伊海上互襲 胡塞奪摩卡港、劍指曼德海峽擴大中東戰線,國際,非政治,鉅亨網,"Thu, 10 Sep 2026 22:49:07 GMT"
2026-09-11,2,美伊海上互襲 胡塞奪摩卡港、劍指曼德海峽擴大中東戰線,國際,非政治,鉅亨網,"Thu, 10 Sep 2026 22:49:07 GMT"
2026-09-11,2,明天的天氣/新颱風杜鵑將生成！最新路徑曝「全台降溫雨下整周」，直到這天才轉晴| 蔡惠芯 | 風生活,生活氣象,非政治,風傳媒,"Thu, 10 Sep 2026 10:43:00 GMT"
2026-09-11,2,高雄前議長朱安雄中國病逝享壽82歲！曾叱吒南台灣政商界 骨灰今返台,政治,中性政治,Yahoo新聞,"Thu, 10 Sep 2026 14:06:00 GMT"
2026-09-11,3,明天的天氣/新颱風杜鵑將生成！最新路徑曝「全台降溫雨下整周」，直到這天才轉晴| 蔡惠芯 | 風生活,生活氣象,非政治,風傳媒,"Thu, 10 Sep 2026 10:43:00 GMT"
2026-09-11,3,高金素梅助理張俊傑逃亡過程「黑白配」 向小黃借手機閃避通聯| 法律前線| 社會,政治,批在野,UDN 聯合報,"Thu, 10 Sep 2026 23:35:50 GMT"
2026-09-11,3,明天的天氣/新颱風杜鵑將生成！最新路徑曝「全台降溫雨下整周」，直到這天才轉晴| 蔡惠芯 | 風生活,生活氣象,非政治,風傳媒,"Thu, 10 Sep 2026 10:43:00 GMT"
2026-09-11,4,新竹「無意綠白合」…黃國昌轟鄭朝方家族：光電賺飽飽,政治,批執政,UDN 聯合報,"Thu, 10 Sep 2026 16:34:41 GMT"
2026-09-11,4,新竹「無意綠白合」…黃國昌轟鄭朝方家族：光電賺飽飽,政治,批執政,UDN 聯合報,"Thu, 10 Sep 2026 16:34:41 GMT"
2026-09-11,4,新竹「無意綠白合」…黃國昌轟鄭朝方家族：光電賺飽飽,政治,批執政,UDN 聯合報,"Thu, 10 Sep 2026 16:34:41 GMT"
2026-09-11,5,伊朗夜襲約旦美軍基地！美媒：8架F-15受損、A-10少一側機翼- 國際,國際,非政治,中時新聞網,"Thu, 10 Sep 2026 09:33:54 GMT"
2026-09-11,5,伊朗夜襲約旦美軍基地！美媒：8架F-15受損、A-10少一側機翼- 國際,國際,非政治,中時新聞網,"Thu, 10 Sep 2026 09:33:54 GMT"
2026-09-11,5,伊朗夜襲約旦美軍基地！美媒：8架F-15受損、A-10少一側機翼- 國際,國際,非政治,中時新聞網,"Thu, 10 Sep 2026 09:33:54 GMT"
2026-09-11,6,高雄前議長朱安雄中國病逝享壽82歲！曾叱吒南台灣政商界 骨灰今返台,政治,中性政治,Yahoo新聞,"Thu, 10 Sep 2026 14:06:00 GMT"
2026-09-11,6,高雄前議長朱安雄中國病逝享壽82歲！曾叱吒南台灣政商界 骨灰今返台,政治,中性政治,Yahoo新聞,"Thu, 10 Sep 2026 14:06:00 GMT"
2026-09-11,6,涉收中資當共諜！高金素梅主任羈押禁見 弟弟是蛋黃酥達人陳耀訓,政治,批在野,三立新聞,"Thu, 10 Sep 2026 09:44:00 GMT"
2026-09-11,7,國安危機 台灣人口連32個月負成長,經濟財經,非政治,UDN 聯合報,"Thu, 10 Sep 2026 16:00:00 GMT"
2026-09-11,7,王偉忠讚沈伯洋選情順 指蔣萬安議會質詢「都快昏了」,政治,批在野,Yahoo新聞,"Thu, 10 Sep 2026 13:23:00 GMT"
2026-09-11,7,國安危機 台灣人口連32個月負成長,經濟財經,非政治,UDN 聯合報,"Thu, 10 Sep 2026 16:00:00 GMT"
2026-09-11,8,敲碗成功！沈伯洋正面迎擊「蔣萬安4年前考題」 王偉忠大讚：好聰明,政治,正面執政,Yahoo新聞,"Thu, 10 Sep 2026 15:00:52 GMT"
2026-09-11,8,竹北藍白分裂 邱臣遠曝陳見賢私下提醒「你玩不過這些人」,政治,批在野,UDN 聯合報,"Thu, 10 Sep 2026 14:24:25 GMT"
2026-09-11,8,敲碗成功！沈伯洋正面迎擊「蔣萬安4年前考題」 王偉忠大讚：好聰明,政治,正面執政,Yahoo新聞,"Thu, 10 Sep 2026 15:00:52 GMT"
2026-09-11,9,不只蔣萬安兒子！北市府證實共送4名「雙重國籍者」赴美留學：有美國、加拿大跟瑞士| 張大任| 新聞,政治,中性政治,風傳媒,"Thu, 10 Sep 2026 10:32:48 GMT"
2026-09-11,9,藍營內鬨疑雲未解！王惠美今北上會卓榮泰爭取建設 行政院承諾全力協助,政治,中性政治,三立新聞,"Thu, 10 Sep 2026 14:41:00 GMT"
2026-09-11,9,台灣不需要打贏！AIT谷立言一句點破關鍵 黃暐瀚：建軍不是要殲滅解放軍,政治,中性政治,Yahoo新聞,"Thu, 10 Sep 2026 21:21:00 GMT"
2026-09-11,10,吳子嘉明公布竹北市長民調 邱臣遠：削弱白營參選正當性、操作棄保,政治,批在野,自由時報,"Thu, 10 Sep 2026 11:30:54 GMT"
2026-09-11,10,私立大學傳中國籍女師上課狂提「中國台灣」 陸委會回應了,政治,中性政治,Yahoo新聞,"Thu, 10 Sep 2026 22:02:00 GMT"
2026-09-11,10,吳子嘉明公布竹北市長民調 邱臣遠：削弱白營參選正當性、操作棄保,政治,批在野,自由時報,"Thu, 10 Sep 2026 11:30:54 GMT"
2026-09-12,1,兵臨紅海！葉門青年運動占莫加 沙國求川普出兵遭拒,國際,非政治,UDN 聯合報,"Fri, 11 Sep 2026 16:00:00 GMT"
2026-09-12,1,兵臨紅海！葉門青年運動占莫加 沙國求川普出兵遭拒,國際,非政治,UDN 聯合報,"Fri, 11 Sep 2026 16:00:00 GMT"
2026-09-12,2,哥哥涉收受中資被羈押 陳耀訓「為1事」發聲了：嚇到不敢亂說話,社會,非政治,三立新聞,"Fri, 11 Sep 2026 14:26:00 GMT"
2026-09-12,2,北市中正區爆槍響！1女中彈送醫搶救警追緝嫌犯- 社會,社會,非政治,中時新聞網,"Fri, 11 Sep 2026 07:28:07 GMT"
2026-09-12,3,北市中正區爆槍響！1女中彈送醫搶救警追緝嫌犯- 社會,社會,非政治,中時新聞網,"Fri, 11 Sep 2026 07:28:07 GMT"
2026-09-12,3,王偉忠指選情滿順、蔣萬安快昏了沈伯洋：提醒要關注市政問題| 政治,政治,批在野,Newtalk新聞,"Fri, 11 Sep 2026 02:35:06 GMT"
2026-09-12,4,王偉忠指選情滿順、蔣萬安快昏了沈伯洋：提醒要關注市政問題| 政治,政治,批在野,Newtalk新聞,"Fri, 11 Sep 2026 02:35:06 GMT"
2026-09-12,4,女子失聯近1個月竟遭殺害棄屍陽明山男友涉重嫌昨拘提到案| 焦點事件| 社會,社會,非政治,UDN 聯合報,"Fri, 11 Sep 2026 23:27:35 GMT"
2026-09-12,5,女子失聯近1個月竟遭殺害棄屍陽明山男友涉重嫌昨拘提到案| 焦點事件| 社會,社會,非政治,UDN 聯合報,"Fri, 11 Sep 2026 23:27:35 GMT"
2026-09-12,5,入秋首波東北季風周末減弱 第2波將接力報到 專家曝3特徵,生活氣象,非政治,UDN 聯合報,"Fri, 11 Sep 2026 22:46:55 GMT"
2026-09-12,6,入秋首波東北季風周末減弱 第2波將接力報到 專家曝3特徵,生活氣象,非政治,UDN 聯合報,"Fri, 11 Sep 2026 22:46:55 GMT"
2026-09-12,6,交車鑰匙幫高金素梅大帳房張俊傑逃亡！ 周煥凱遭羈押禁見,政治,批在野,鏡週刊,"Thu, 10 Sep 2026 22:50:00 GMT"
2026-09-12,7,副總統蕭美琴義大利演說：台灣有權和世界交朋友,政治,中性政治,Yahoo新聞,"Fri, 11 Sep 2026 21:09:28 GMT"
2026-09-12,7,副總統蕭美琴義大利演說：台灣有權和世界交朋友,政治,中性政治,tw.news.yahoo.com,"Fri, 11 Sep 2026 21:09:28 GMT"
2026-09-12,8,新聞幕後／美方高度期待無人載具條例 綠不敢再拖延,AI科技,非政治,UDN 聯合報,"Fri, 11 Sep 2026 16:00:00 GMT"
2026-09-12,8,新聞幕後／美方高度期待無人載具條例 綠不敢再拖延,AI科技,非政治,UDN 聯合報,"Fri, 11 Sep 2026 16:00:00 GMT"
2026-09-12,9,魚販送金目鯛祝「鴻運當頭」 沈伯洋超捧場接住網笑翻,政治,正面執政,自由時報,"Fri, 11 Sep 2026 12:23:51 GMT"
2026-09-12,9,魚販送金目鯛祝「鴻運當頭」 沈伯洋超捧場接住網笑翻,政治,正面執政,自由時報,"Fri, 11 Sep 2026 12:23:51 GMT"
2026-09-12,10,「炒房亡國論」20年後成真？出生人口9年慘腰斬 學者揭「4大生存抉擇」,經濟財經,非政治,自由時報,"Fri, 11 Sep 2026 12:30:00 GMT"
2026-09-12,10,「炒房亡國論」20年後成真？出生人口9年慘腰斬 學者揭「4大生存抉擇」,經濟財經,非政治,自由時報,"Fri, 11 Sep 2026 12:30:00 GMT"
2026-09-13,1,東北季風一波波！下周降雨熱區曝光 周四後中部以北日夜溫差恐達7度,生活氣象,非政治,UDN 聯合報,"Sat, 12 Sep 2026 08:51:23 GMT"
2026-09-13,1,東北季風一波波！下周降雨熱區曝光 周四後中部以北日夜溫差恐達7度,生活氣象,非政治,UDN 聯合報,"Sat, 12 Sep 2026 08:51:23 GMT"
2026-09-13,1,東北季風一波波！下周降雨熱區曝光 周四後中部以北日夜溫差恐達7度,生活氣象,非政治,UDN 聯合報,"Sat, 12 Sep 2026 08:51:23 GMT"
2026-09-13,2,板橋造勢湧6千人！李四川喊「新北要2顆蛋」 侯友宜力挺：比我更會做事,政治,正面在野,三立新聞,"Sat, 12 Sep 2026 13:54:00 GMT"
2026-09-13,2,板橋造勢湧6千人！李四川喊「新北要2顆蛋」 侯友宜力挺：比我更會做事,政治,正面在野,三立新聞,"Sat, 12 Sep 2026 13:54:00 GMT"
2026-09-13,2,板橋造勢湧6千人！李四川喊「新北要2顆蛋」 侯友宜力挺：比我更會做事,政治,正面在野,三立新聞,"Sat, 12 Sep 2026 13:54:00 GMT"
2026-09-13,3,中天6點聲明再控周玉琴！曝2段對話紀錄 斥責賴岳謙「謊稱被退通告」,娛樂影視,非政治,Yahoo新聞,"Sat, 12 Sep 2026 10:52:47 GMT"
2026-09-13,3,中天6點聲明再控周玉琴！曝2段對話紀錄 斥責賴岳謙「謊稱被退通告」,娛樂影視,非政治,Yahoo新聞,"Sat, 12 Sep 2026 10:52:47 GMT"
2026-09-13,3,中天6點聲明再控周玉琴！曝2段對話紀錄 斥責賴岳謙「謊稱被退通告」,娛樂影視,非政治,Yahoo新聞,"Sat, 12 Sep 2026 10:52:47 GMT"
2026-09-13,4,熱帶擾動將發展為「強聖嬰年」強颱 吳德榮：歐洲、美國預測路徑分歧,生活氣象,非政治,UDN 聯合報,"Sat, 12 Sep 2026 23:18:45 GMT"
2026-09-13,4,熱帶擾動將發展為「強聖嬰年」強颱 吳德榮：歐洲、美國預測路徑分歧,生活氣象,非政治,UDN 聯合報,"Sat, 12 Sep 2026 23:18:45 GMT"
2026-09-13,4,熱帶擾動將發展為「強聖嬰年」強颱 吳德榮：歐洲、美國預測路徑分歧,生活氣象,非政治,UDN 聯合報,"Sat, 12 Sep 2026 23:18:45 GMT"
2026-09-13,5,共同社：北京威脅華府若批准新對台軍售將取消習川會| 國際,政治,非政治,cna.com.tw,"Sat, 12 Sep 2026 14:03:00 GMT"
2026-09-13,5,共同社：北京威脅華府若批准新對台軍售將取消習川會| 國際,政治,非政治,cna.com.tw,"Sat, 12 Sep 2026 14:03:00 GMT"
2026-09-13,5,共同社：北京威脅華府若批准新對台軍售將取消習川會| 國際,政治,非政治,中央社 CNA,"Sat, 12 Sep 2026 14:03:00 GMT"
2026-09-13,6,影／訪日赫見穿防彈背心沈伯洋「我被中國通緝」：出國都會穿| 縣市長議員選戰| 要聞,政治,中性政治,UDN 聯合報,"Sat, 12 Sep 2026 10:03:36 GMT"
2026-09-13,6,影／訪日赫見穿防彈背心沈伯洋「我被中國通緝」：出國都會穿| 縣市長議員選戰| 要聞,政治,中性政治,UDN 聯合報,"Sat, 12 Sep 2026 10:03:36 GMT"
2026-09-13,6,影／訪日赫見穿防彈背心沈伯洋「我被中國通緝」：出國都會穿| 縣市長議員選戰| 要聞,政治,中性政治,UDN 聯合報,"Sat, 12 Sep 2026 10:03:36 GMT"
2026-09-13,7,教你怎麼當第一夫人？陳佩琪突轟賴清德太太「躲在官邸靜悄悄」 網酸爆,政治,批執政,Yahoo新聞,"Sat, 12 Sep 2026 21:59:00 GMT"
2026-09-13,7,教你怎麼當第一夫人？陳佩琪突轟賴清德太太「躲在官邸靜悄悄」 網酸爆,政治,批執政,Yahoo新聞,"Sat, 12 Sep 2026 21:59:00 GMT"
2026-09-13,7,教你怎麼當第一夫人？陳佩琪突轟賴清德太太「躲在官邸靜悄悄」 網酸爆,政治,批執政,Yahoo新聞,"Sat, 12 Sep 2026 21:59:00 GMT"
2026-09-13,8,高金素梅前主任張俊傑棄保潛逃 接應司機陳俊翰遭羈押禁見,政治,批在野,UDN 聯合報,"Sat, 12 Sep 2026 23:05:00 GMT"
2026-09-13,8,高金素梅前主任張俊傑棄保潛逃 接應司機陳俊翰遭羈押禁見,政治,批在野,UDN 聯合報,"Sat, 12 Sep 2026 23:05:00 GMT"
2026-09-13,8,高金素梅前主任張俊傑棄保潛逃 接應司機陳俊翰遭羈押禁見,政治,批在野,UDN 聯合報,"Sat, 12 Sep 2026 23:05:00 GMT"
2026-09-13,9,反擊中國抗議歐洲議會副議長：接受蕭美琴邀請將訪問台灣| 政治,政治,正面執政,cna.com.tw,"Fri, 11 Sep 2026 22:34:00 GMT"
2026-09-13,9,反擊中國抗議歐洲議會副議長：接受蕭美琴邀請將訪問台灣| 政治,政治,正面執政,cna.com.tw,"Fri, 11 Sep 2026 22:34:00 GMT"
2026-09-13,9,逾200萬人赴中！年輕人狂參加統戰團，余宗基籲亡羊補牢認清危險性,政治,非政治,Yahoo新聞,"Sat, 12 Sep 2026 22:12:00 GMT"
2026-09-13,10,小三替人夫開槍射正宮！怕被斷金援 槍藏絨毛娃娃「事前蹲點」預謀犯案,社會,非政治,UDN 聯合報,"Sat, 12 Sep 2026 08:02:39 GMT"
2026-09-13,10,小三替人夫開槍射正宮！怕被斷金援 槍藏絨毛娃娃「事前蹲點」預謀犯案,社會,非政治,UDN 聯合報,"Sat, 12 Sep 2026 08:02:39 GMT"
2026-09-13,10,反擊中國抗議歐洲議會副議長：接受蕭美琴邀請將訪問台灣| 政治,政治,正面執政,中央社 CNA,"Fri, 11 Sep 2026 22:34:00 GMT"
2026-09-14,1,6：44台灣東南部海域規模4.9地震 綠島最大震度4級,生活氣象,非政治,UDN 聯合報,"Sun, 13 Sep 2026 23:14:11 GMT"
2026-09-14,1,6：44台灣東南部海域規模4.9地震 綠島最大震度4級,生活氣象,非政治,UDN 聯合報,"Sun, 13 Sep 2026 23:14:11 GMT"
2026-09-14,1,半個台灣有感！06：44規模4.9極淺層地震 最大震度4級,生活氣象,非政治,Yahoo新聞,"Sun, 13 Sep 2026 23:07:00 GMT"
2026-09-14,2,東北季風影響3天迎風面降雨增 熱帶擾動將成強颱路徑大迴轉,生活氣象,非政治,Yahoo新聞,"Sun, 13 Sep 2026 22:17:47 GMT"
2026-09-14,2,蕭美琴驚險突破封鎖抵義大利！北京不爽嗆卑鄙 他讚外交一事：見證歷史,政治,正面執政,Yahoo新聞,"Sun, 13 Sep 2026 22:02:00 GMT"
2026-09-14,2,東北季風影響3天迎風面降雨增 熱帶擾動將成強颱路徑大迴轉,生活氣象,非政治,Yahoo新聞,"Sun, 13 Sep 2026 22:17:47 GMT"
2026-09-14,3,澎湖海線全面戒備 嚴防高金素梅「大帳房」張俊傑偷渡,政治,中性政治,自由時報,"Sun, 13 Sep 2026 09:12:36 GMT"
2026-09-14,3,天氣》今越晚雨越大！「強聖嬰年」強颱恐生成路徑大迴轉- 生活,生活氣象,非政治,中時新聞網,"Sun, 13 Sep 2026 23:22:37 GMT"
2026-09-14,3,蕭美琴驚險突破封鎖抵義大利！北京不爽嗆卑鄙 他讚外交一事：見證歷史,政治,正面執政,Yahoo新聞,"Sun, 13 Sep 2026 22:02:00 GMT"
2026-09-14,4,中國抗議蕭美琴訪問義大利外長：未聯繫北京、挺維持現狀| 政治,政治,中性政治,中央社 CNA,"Sat, 12 Sep 2026 16:32:00 GMT"
2026-09-14,4,習近平不對勁？莫迪金磚峰會演說2度問「還好嗎」 晚宴罕見缺席,國際,非政治,自由時報,"Sun, 13 Sep 2026 10:03:48 GMT"
